Pengguna,Waktu,Ulasan
,"2024-09-10 17:22 | Variasi: SC-734,10 METER","Barang diterima dengan baik, tidak ada cacat  dan kerusakan, barang sangat memuaskan kabel sangat panjang, wort it to buy, lumayan buat sehari hari recommend banget yaa, harga terjangkau 😍😍😍"
a*****m,"2025-06-24 18:05 | Variasi: SC-732,10 METER",Pas sesuai kebutuhan untuk CCTV jadi Menyala dengan baik 24 jam. Kabel panjang. Terimakasih seller kapan2 beli lagi di toko ini.
,"2025-06-24 11:21 | Variasi: SC-733,1.5 METER",Murah juga worth it
e*****6,"2025-05-28 12:30 | Variasi: SC-734,5 METER",
,"2023-09-30 10:10 | Variasi: SC-734,5 METER","allhamdulillah datng dengan selamat, suka sekali dengan kabel roll nya panjang kabel nya colokannya berfungsi semua terimaksih"
a*****i,"2025-05-10 14:26 | Variasi: SC-735,1.5 METER",Bagus sesuai deskripsi semoga awet recomended
a*****4,"2025-06-08 05:43 | Variasi: SC-732,5 METER",Pengiriman sangat cepat. Kabel tebel. Toko amanah
,"2024-09-30 19:50 | Variasi: SC-733,3 METER","Udah lama baru review, bagus produknya dan aman"
,"2026-04-15 14:06 | Variasi: SC-733,5 METER",Pesanan sudah diterima dengan kondisi baik
,"2023-12-16 14:47 | Variasi: SC-735,10 METER, SC-733,10 METER",Terima kasih barang sudah sampai di tujuan dengan selamat dan baik tidak ada yang rusak semua berfungsi dengan baik
,"2024-10-28 15:17 | Variasi: SC-733,3 METER",Alhamdulillah pesanan saya sudah sampai dengan selamat...semoga barangnya ga cepet rusak
m*****i,"2024-08-01 14:28 | Variasi: SC-732,1.5 METER","Berfungsi baik, pengemasan pengiriman jg cpt. Kirain 1.5m itu lmyn panjang, untungnya msh sesuai kebutuhan. Makasih banyak"
,"2025-04-17 15:25 | Variasi: SC-734,5 METER","Rangkanya kokoh dan cantik
Ada motifnya pd bagian atas"
f*****0,"2024-02-03 11:27 | Variasi: SC-733,5 METER",Bagus stop kontak nya
,"2023-11-26 20:54 | Variasi: SC-733,10 METER","bahan nya bagus bangeettt, memuaskan banget belanja disini. harga murah pula"
n*****r,"2025-04-05 15:48 | Variasi: SC-732,5 METER","Paket di terima dengan baik dan sesuai Pict. Pakingan rapi dan aman.

Proses Pengemasan dan Pengiriman juga cepat sampainya.

Sudah di coba dan bisa, moga awet karna ini Handmade.

Tengkyu Seller, sukses terus"
,"2024-09-17 19:15 | Variasi: SC-734,3 METER, SC-734,1.5 METER","Stop kontak bagus, berfungsi normal, pengiriman juga cepat."
s*****l,"2025-05-20 11:58 | Variasi: SC-732,5 METER",Ukuran kabelnya pas 5 meter sesuai deskripsi. Udah lumayan lama dipakai saat barang nyampe dan masih berfungsi dengan baik.
e*****k,"2024-05-13 13:22 | Variasi: SC-734,5 METER","Paket sudah saya Terima dengan baik. Dibungkus dengan rapih. Produknya lumayan bagus. Sudah saya pakai. Mudah2an awet ya. Pengirimnya ramah, sopan dan bertanggungjawab. Terima kasih."
d*****n,"2025-04-29 20:41 | Variasi: SC-735,5 METER",
,"2025-05-21 17:59 | Variasi: SC-734,1.5 METER",Semoga sukses selalu 👍👍👍👍
,"2025-05-15 12:59 | Variasi: SC-734,10 METER",Harga terjangkau kualitas bagus. Denganpanjang 10m
n*****a,"2023-06-27 20:56 | Variasi: SC-733,5 METER",Bagus. Berfungsi dengan baik. Kabelnya juga kuat. Barang cepat sampainya. Terimakasih
m*****s,"2024-05-12 11:15 | Variasi: SC-732,1.5 METER","Super Cepat Sampai, Packing Super Aman pakai bumble dan Kualitas Bagus Original Cahaya.
Tebal,Kuat dan SNI.Respon Cepat Ramah Pula.
Terimakasih..."
,"2025-03-18 16:02 | Variasi: SC-733,3 METER","mantap udah sampe , berfungsi normal , semoga awet , terimakasih"
,"2024-12-24 14:33 | Variasi: SC-735,5 METER",Sangat membantu dalam memberikan energi listrik ke semua alat rumah tangga
,"2025-05-15 02:34 | Variasi: SC-734,5 METER",
y*****0,"2025-06-22 09:11 | Variasi: SC-735,10 METER","Terima kasih seller,barangnya bagus banget pokoknya"
a*****a,"2026-04-15 10:31 | Variasi: SC-735,3 METER",
g*****i,"2025-06-19 10:54 | Variasi: SC-733,1.5 METER","Produk sesuai pesanan, nyampenya cepet, produknya berfungsi ✅"
,"2024-11-15 08:11 | Variasi: SC-735,1.5 METER, SC-732,3 METER, SC-733,1.5 METER, ...",
,"2025-02-24 22:03 | Variasi: SC-733,1.5 METER","Barang sudah sampai selamat dan respon baik pengiriman cepat pokoknya, semoga bermanfaat dipakai dan tidak ada kendala pokoknya mantap baik digunakan serta normal"
,"2025-03-23 02:19 | Variasi: SC-734,5 METER","Produk sangat berfungsi dengan baik, kualitas bagus. Toooop"
a*****i,"2025-03-04 10:51 | Variasi: SC-734,3 METER","Wajibbbb beliii disiniii si apalagi harganya yang murah tapi kualitas oriii ga kaleng"""
,"2024-05-06 18:32 | Variasi: SC-732,1.5 METER","Harga tidak mahal, pengiriman cepat, barang sampai dengan aman, terlindungi bubble wrap."
t*****s,"2025-10-17 11:05 | Variasi: SC-734,10 METER, SC-735,1.5 METER","Pengiriman cepat, aman dan baik"
,"2024-08-08 13:28 | Variasi: SC-735,10 METER",
,"2025-03-14 17:36 | Variasi: SC-734,3 METER",
j*****u,"2025-01-29 18:38 | Variasi: SC-733,10 METER",
,"2025-03-30 12:28 | Variasi: SC-732,1.5 METER",Sesuai pesanan dan pengiriman tepat waktu terima kasih seller semoga sukses dan lancar usahanya terima kasih Soppee
n*****a,"2025-05-11 18:59 | Variasi: SC-734,3 METER, SC-733,1.5 METER",Terminal listriknya mantap nyala semuanyaa... makasih seller ga sia² nunggu deh.
i*****_,"2025-05-14 13:14 | Variasi: SC-734,3 METER","Stop kontak oke ya dengan harga murah juga, dan pengirimannya cepet banget, cuma 2 hari"
,"2025-06-09 15:39 | Variasi: SC-733,3 METER","Pengiriman cepat,pakingnya bagus...amanah 🫰"
d*****h,"2023-09-14 07:59 | Variasi: SC-732,3 METER",Terimakasih ... paket nya aman dan sampai nya cepat... berfungsi dengan baik.. semoga awet dan tidak gampang meleleh kabelnya.. kabelnya tebal
n*****m,"2025-05-06 14:35 | Variasi: SC-734,10 METER","Kualitas produk sangat baik, sesuai dengan deskripsi. Pengiriman sangat cepat. Semoga awet. Terima kasih seller"
d*****2,"2025-05-16 20:27 | Variasi: SC-733,5 METER",packing rapi aman
,"2025-04-08 17:37 | Variasi: SC-733,10 METER",Good 👍
w*****6,"2023-10-29 19:32 | Variasi: SC-735,10 METER","Barang diterima dgn baik, pengiriman juga baik, tapi itu emang tiap saklar nya beda ukuran ya (maaf, soalnya saya kurang paham juga perterminalan kabel kyk gini)? Karna gak pernah muat kalo nyolokin yg paling pertama"
m*****s,"2023-10-14 06:18 | Variasi: SC-735,10 METER","Sesuai harga. Ini colokan cocoknya buat watt yang ringan2, kalo buat colokan kulkas kompor listrik dll rawan, soalnya pas diliat kabelnya kecil2 rawan terbakar. 
Untuk bahannya sih baguss ngga yang murahan, dan semua colokannya aman bisa dipakai.

Thx seller"
y*****a,"2025-04-17 12:51 | Variasi: SC-733,5 METER",
,"2024-12-06 16:37 | Variasi: SC-735,5 METER","suka bgt sama barang nya, kokoh bgt bahannya, pengirimannya juga aman bgt bubble wrap nya tebel guys, ayo beli di sini!!!"
k*****1,"2024-10-04 09:12 | Variasi: SC-735,5 METER","Awalnya stopkontaknya gak bisa di masukin ..ternyata kurang tekanan 
Produknya bagus semoga awet ya ..👍👍👍👍👍"
,"2025-05-08 22:41 | Variasi: SC-734,1.5 METER",Pengiriman cepat. Packagingnya juga rapi dan aman. Harga produk terjangkau. Kualitas produk bagus.
e*****_,"2026-04-06 17:47 | Variasi: SC-733 HITAM,3 METER","Barang sudah datang sesuai pesanan, gaada yang cacat, berfungsi dengan baik, lampu indikator nya nyala juga, harganya juga murah, pengiriman cepat dan pengemasan rapi. Terima kasih"
,"2024-12-06 04:55 | Variasi: SC-734,5 METER",
m*****7,"2025-06-04 15:04 | Variasi: SC-733,3 METER",
,"2025-05-02 21:23 | Variasi: SC-735,10 METER",Sesuai pesanan amanah semoga awet Bagus banget berfungsi dengan baik
a*****a,"2025-04-30 10:03 | Variasi: SC-732,3 METER, SC-734,3 METER",paket datang sengan selamat abang kurirnya jg sopan paket di packing dgn rapih barang komplit sesuai request thx seller n shopee
,"2024-11-20 10:35 | Variasi: SC-735,5 METER",Sangat berfungsi untuk menghidupkan barang elektronik
f*****_,"2024-08-03 08:12 | Variasi: SC-734,5 METER",semoga awet deh
,"2024-12-09 00:36 | Variasi: SC-735,10 METER",Puas belanja di sini. Barang sesuai deskripsi & foto di outlet olshop. Recommended seller🥇🏆
,"2024-09-10 19:24 | Variasi: SC-734,3 METER","Sesuai dengan pesanan, barangnya bagus, harganya murah, berfungsi dengan baik, semoga awet. Kabelnya juga lentur.
Senang belanja disini."
b*****6,"2024-11-27 18:35 | Variasi: SC-733,5 METER","berfungsi dengan baik, lampu indikator nyala. tapi panjang bgt yaa ternyata wkwkw 😭"
a*****2,"2025-05-05 12:57 | Variasi: SC-734,5 METER","Produk sesuai,, hanya saja panjang kabel nya gk sesuai harusnya 5m , ini cuma 4,5 meter
Diukur kabelnya dari ujung keujung cuma 4,5m
Mgkin yg ½ meter nya termasuk yg ada di dalam colokan kali yaa 🤭😅 .. Trus tiap stop kontak nya di jetrekin lampunya slalu kedip² knpa yaa?.
Pengemasan dan pengiriman cukup cepat.."
,"2024-10-28 20:20 | Variasi: SC-732,5 METER, SC-733,1.5 METER",
,"2025-06-06 14:19 | Variasi: SC-734,5 METER",
,"2025-06-03 18:44 | Variasi: SC-734,5 METER","Harga murah dg kualitas yg diberikan. Plastiknya bagus,kabelnya bagus. Berfungsi dengan normal"
,"2025-02-23 12:15 | Variasi: SC-735,5 METER","bagian lubang colokan untuk tempat charger agak sulit saya kira sudah pas ternyata yang longgar dan gabisa masuk untuk besi kepala chargernya, sangat disayangkan 
kalau panjangnya sudah pas sesuai ekspetasi 
harapannya mungkin besok perlu ditinjau lagi untuk pembuatan lubang chargernya"
f*****9,"2025-10-16 12:16 | Variasi: SC-734,10 METER","Fast Respon, Fast Packing, Fast Pengiriman, Mendarat Dengan Selamat, Packing Rapi, Isi Sesuai Pesanan/Lengkap dan Berfungsi Dengan Sangat Baik, Terima Kasih"
,"2025-05-16 13:45 | Variasi: SC-734,5 METER","Paket telah dtrima, pengemasan barang baik, barang berfungsi dgn baik"
e*****8,"2025-06-08 12:05 | Variasi: SC-733,1.5 METER",Stop kontaknya sesuai pesanan pokoknya okeh banget udah dicoba juga aman deh pokoknya
v*****b,"2025-05-29 14:57 | Variasi: SC-732,5 METER","Murah, semoga awet dan gak
Menyebabkan konslet listrik, beli yg 5 meter krn memang jangkauannya lagi butuh yg panjang"
,"2023-10-12 21:19 | Variasi: SC-735,3 METER","Bangga jg dgn buatan lokal kita ini .. kualitasnya bagus, bahan nya tebal, kokoh & harga nya kompetitif dgn yg lain"
w*****1,"2025-05-27 18:13 | Variasi: SC-733,3 METER","Allhamdulillah barang sudah sampai,dan barangnya bagus pengiriman ok,dan pengemasan pun rapi semoga bisa jadi langganan untuk toko nya,tetap maju yaa❤"
,"2025-06-11 20:24 | Variasi: SC-734,5 METER",Beli pas lagi flash sale lumayan dapet harga murah buat di kmr apalagi panjang nya 5cm desain nya juga bagus terimakasih
,"2024-07-14 20:14 | Variasi: SC-735,1.5 METER","Udah aku coba per colokannya dan berfungsi semuaaa, semoga awett 👍🏻👍🏻

Edited: guys, untuk panjang kabelnya ternyata kurang dari 1,5 M kalo kalian udah ngukur jarak untuk kabel 1,5 saranku beli yang 3M aja.. lebih baik kepanjangan yaa, tp buatku gak ada masalah kok 👍🏻👍🏻👍🏻"
s*****i,"2024-09-17 09:58 | Variasi: SC-735,5 METER","Alhamdulillah barang sampai dengan aman, packing rapih. Berfungsi dengan baik. Seller ramah dan Trusted Seller."
f*****h,"2024-09-06 17:42 | Variasi: SC-735,5 METER","stop kontaknya berfungsi semua, aman semuanya, emg sengaja beli yg panjang"
,"2025-03-29 16:38 | Variasi: SC-735,5 METER","Barangnya sudah datang makasih ya 
Pengiriimanya cepet banget keren si 
Berfungsi dengan baik top
Harga pun murah keren lah ga kecewa beli di toko ini amanah banget"
y*****2,"2023-09-18 23:36 | Variasi: SC-733,10 METER","Kabel panjang dan murah, semua aman thank you seller"
,"2025-03-23 03:58 | Variasi: SC-734,3 METER","Bagus, cocok untuk sehari2"
,"2026-02-25 21:53 | Variasi: SC-732,5 METER",Barang nya bagus berfungsi dengan baik dan sesuai dengan pesanan saya
,"2025-03-26 18:06 | Variasi: SC-734,5 METER",
,"2025-05-05 19:22 | Variasi: SC-734,5 METER",
,"2025-05-05 02:14 | Variasi: SC-735,3 METER",bagus stop kontaknya
,"2025-03-21 10:09 | Variasi: SC-732,1.5 METER",Semua berfungsi dengan baik mantap
a*****6,"2024-09-05 05:13 | Variasi: SC-735,10 METER",Barangnya bagus oke mantab
d*****_,"2025-05-01 13:17 | Variasi: SC-733,3 METER",
u*****7,"2025-05-28 20:09 | Variasi: SC-735,5 METER","Sesuai pesanan
Produk bagus
Berfungsi dengan baik
Semoga awet
Recommended seller"
e*****9,"2024-08-28 10:38 | Variasi: SC-733,3 METER","""Tingkatkan kualitas hidup dengan produk ini, sangat memuaskan!"
c*****s,"2025-03-13 22:37 | Variasi: SC-734,5 METER","produknya bagus, berfungsi dengan baik dan SNI"
n*****e,"2023-10-12 19:59 | Variasi: SC-733,1.5 METER","Alhamdulillah pembelian pertama
Proses cepat
Harga terjangkau
Semoga awet lama
Terimakasih"
a*****a,"2025-05-08 20:44 | Variasi: SC-734,1.5 METER","Pengiriman cepat, sesuai dengan deskripsi berfungsi semua lobangnya. Semoga awet"
,"2024-06-16 14:01 | Variasi: SC-734,10 METER",Sejauh ini bagus. Kabelnya panjang bisa menjangkau jauh. Mudah-mudahan awet
s*****i,"2024-10-15 11:47 | Variasi: SC-735,3 METER","Sebelumnya pernah beli yang 5 meter ternyata kepanjangan alhasil sering ketindihan dan keinjek injek. Akhirnya pas kemarin malah ngeluarin api dari kabelnya😭
Yang ini panjangnya lebih pas, semoga aman terus deh"
,"2026-04-15 08:14 | Variasi: SC-734,3 METER","Stop kontak berfungsi dengan baik. Harga nya murah, dr pada merek lain. Gpp la pengen nya belinya lebih mahal. Tp semoga aja walaupun ini murah bisa awet dan tahan lama. Terima kasih seller dan Shopee.."
m*****h,"2025-07-14 10:01 | Variasi: SC-733,3 METER","Bagus, murah, kuat, pengiriman cepat dan mantab tokonya sukses selalu aamiin"
,"2025-05-14 16:24 | Variasi: SC-734,3 METER","saya sangat suka sekali dengan bentuk dan penampilan stop kontak dengan kabel cukup panjang, kwalitas bagus, sangat memuaskan, terima kasih toko dan shopee."
,"2025-04-08 15:29 | Variasi: SC-734,5 METER",
w*****n,"2025-03-27 13:42 | Variasi: SC-734,3 METER, SC-733,1.5 METER","Pengiriman sangat cepat dg packaging yg rapi dan aman
Ke 2 nya bisa digunakan dg baik
Tdk ada keluhan so far"
,"2025-06-09 17:34 | Variasi: SC-734,3 METER",Alhamdulillah berfungsi dengan baik..pengiriman cepat
,"2025-03-20 07:02 | Variasi: SC-735,10 METER","Barangnya sampai dengan cepat. Pakai reguler, 2 hari sampai kerumah"
a*****8,"2026-04-08 15:30 | Variasi: SC-733,1.5 METER","Stop Kontak+ Kabel SC-733 / 1,5Mtr Bagus, Pengiriman Cepat, Kemasan Rapi, Harga Standart & Sesuai Dengan Deskripsi. Terima Kasih Shopee."
,"2024-09-17 13:12 | Variasi: SC-735,10 METER","Sesuai deskripsi dan pesanana.Cepat sampai,semoga awet dan normal terus,terimakasih."
,"2023-05-08 00:46 | Variasi: SC-735,3 METER","Murah banget drpd beli offline colokan 5,bahan bagus 5 meter bisa 70k, rugi emang beli langsung, mending online. Pokoknya bagus bahan nya, berfungsi dengan baik"
b*****x,"2023-06-09 21:26 | Variasi: SC-735,10 METER",bagus sesuai sama pesanan pengiriman cepat packing aman dan rapi
,"2023-05-16 09:50 | Variasi: SC-735,10 METER","Untuk pengirimannya aman dan cepat. Barangnya bagus  dan sesuai deskripsi, kabelnya panjang dan colokannya banyak. Untuk kualitasnya juga bagus dan berfungsi dengan baik semuanya. Terimakasih ya dan semoga sukses terus."
r*****3,"2023-09-28 11:26 | Variasi: SC-732,10 METER","Pengiriman cepat. Packing baik pakai bubble tebal. Barang sesuai foto yg dipasang. Semoga awet. Belum dicoba. Terima kasih, Seller!!"
a*****e,"2024-12-16 21:09 | Variasi: SC-735,1.5 METER","Barangnya bagus, murah tapi sangat berkualitas.
Makasih kak seller
."
,"2025-03-15 09:52 | Variasi: SC-732,3 METER",
a*****s,"2025-05-16 07:00 | Variasi: SC-734,5 METER","produk terbagus dengan harga yang terjangkau dan sangat murah, sangat bermanfaat, pengiriman super cepat , seller sangat recommended
cocok buat langgangan
terima kasih"
,"2025-05-05 08:47 | Variasi: SC-734,3 METER","Paket mendarat dengan aman, memakai bubblewrap, dicoba jg aman. Semoga awet."
p*****i,"2025-03-15 06:51 | Variasi: SC-732,1.5 METER","Terimakasih barangnya sudah dateng, kaaf batu ngasih penilaian. Barangnya baguuus."
a*****.,"2025-03-20 19:21 | Variasi: SC-735,10 METER",Alhamdulilah pesanan sudah tiba luarbiasa cepat pengiriman nya.. Terimakasih semoga menjadi langganan dan kualitas barang nya bagus sekali.. Terimakasih shoope terimakasih penjual dan mamang kurir.. Semoga jualannya amanah.. 👍
,"2024-07-08 23:07 | Variasi: SC-733,5 METER, SC-733,3 METER","Kontaknya bagus cakep ga gampang panas, fleksibel bisa dibawa kmna², colokan anti lepas terutama cocok untuk charger hp dong

Bisa dibawa ke ruang tamu yg punya colokan jauh dan hanya 1 aja.."
,"2024-09-04 09:39 | Variasi: SC-734,3 METER","Alhamdulillah barang diterima dengan baik, tidak ada cacat dan kerusakan. Barang juga aman berfungsi dengan baik, semoga awet dan terpakai lama. Terimakasih seller semoga laris terus🤍🤍🤍💐"
j*****8,"2025-06-17 07:32 | Variasi: SC-735,10 METER","Terimakasih seller sukses selalu..brg yg pesan sesuai pesanan,lengkap,berfungsi dengan baik juga tepat waktu sampainya. Sangat puas..terlihat berkualitas dari kabel dan kuningannya. Semoga awet barangnya.."
a*****5,"2025-06-09 14:58 | Variasi: SC-735,10 METER","Produk bagus murah sesuai dengan barangnya, mantap pokoknya"
h*****i,"2025-06-28 19:43 | Variasi: SC-732,5 METER","Penyambung kabel listrik nya sudah diterima, sangat berguna untuk menggunakan alat yg kabelnya tidak sampai ke stop kontaknya"
n*****9,"2023-10-02 16:04 | Variasi: SC-733,3 METER","Alhamdulillaah sampe dengan aman
Sudah di tes, dan berdungsi dengan baik colokannya
Terima kasih seller"
d*****5,"2025-05-07 08:31 | Variasi: SC-733,3 METER",Barangnya sudah sampai dengan aman. Packing sangat aman karena bubble wrap nya tebal. Berfungsi dengan baik. Terima kasih.
,"2025-05-09 18:52 | Variasi: SC-734,10 METER","Barang sampai dengan baik, aman, sesuai, terimakasih 🙏"
,"2023-08-03 17:48 | Variasi: SC-734,5 METER","Barang sudah diterima dan sudah dipakai. Semoga aja awet, kualitas bagus sih ini. Terima kasih seller, mudah-mudahan wangi terus ya, hehe."
,"2025-05-10 21:17 | Variasi: SC-732,10 METER","packaging safety, semoga awet"
n*****a,"2025-05-22 10:22 | Variasi: SC-735,5 METER","Colokannya berfungsi dengan baik, semoga bisa dipake lama. Sellernya sangat sangatt gercep, pas di co saat itu jg langsung dikirim barangnya. Mantapp pokoknya🤌🏻"
r*****m,"2024-12-23 21:40 | Variasi: SC-735,1.5 METER","selalu beli di sini, uda ke 4x nyaa thankyouu"
,"2025-07-11 09:31 | Variasi: SC-735,1.5 METER",Cocok untuk colokan listrik yang penuh
,"2024-02-26 10:59 | Variasi: SC-732,3 METER","Mantaflah berfungsi dengan baik dua duanya, semoga awet terimakasih banyak!"
,"2025-02-27 22:04 | Variasi: SC-732,5 METER",Yg mau order bisa bgt disini ya
i*****e,"2025-06-22 13:10 | Variasi: SC-735,5 METER",
s*****3,"2025-05-02 13:41 | Variasi: SC-735,10 METER","Produk sudah sampai sesuai tidak kurang tidak rusak bagus tapi tidak tau kedepannya gmn nanti minta garansinya aja kalau ga lama udh rusak, penjual fast respon, pengiriman cepat banget, kurir langganan 🤩"
c*****e,"2025-04-08 16:07 | Variasi: SC-734,3 METER","Stop kontak dari Cahaya ini sangat membantu buat kebutuhan listrik di rumah. Kabelnya tebal dan nggak gampang rusak. Panjangnya cukup buat ditaruh agak jauh dari colokan utama. Tersedia banyak lubang colokan, jadi bisa dipakai buat beberapa alat elektronik sekaligus. Kualitasnya bagus, worth it!"
a*****6,"2025-05-22 06:48 | Variasi: SC-734,3 METER","Tidak menyesal beli produk ini, sangat direkomendasikan"
,"2025-05-15 18:06 | Variasi: SC-734,3 METER","Bagus, pengiriman sangat cepat 1 lsngsung dikirim dan urgent juga jadi lgsg datang sip👍🏻"
t*****i,"2025-03-29 12:48 | Variasi: SC-733,3 METER, SC-732,1.5 METER","Alhamdulillah stop kontak dan kabelnya bekerja dengan baik, panjang kabelnya cukup untuk penggunaan sehari-hari. Terimaksih seller, shopee dan abang kurir."
,"2025-05-26 08:54 | Variasi: SC-734,5 METER","Berfungsi dengan baik, dari pengalaman ku yang kabel kaya gini lebih aman dr pada kabel yg tipis itu"
m*****5,"2025-05-05 18:38 | Variasi: SC-735,3 METER",Pengiriman cepat pengemasan bagus rapih harga sesuai dengan produk bahan lumayan semiga cocok dan awet
,"2025-04-27 17:23 | Variasi: SC-732,1.5 METER","Stop kontaknya berfungsi dengan baik, semoga awet dan tahan lama. Pengirimannya cepet, pengemasannya aman banget, di bungkus dengan bubble wrap yang tebal dan dipakein lagi kardus, jadi in syaa Allah terjamin selama diperjalanan. Makasih seller dan tim juga Abang kurir, semoga tokonya makin laris, berlimpah rezeki, sehat-sehat, sejahtera, bahagia dan berkah untuk semua, aamiin"
d*****y,"2025-03-28 16:27 | Variasi: SC-734,5 METER",Bagusss bgt😍
,"2025-05-09 20:33 | Variasi: SC-733,3 METER",praktis utk dibawa kemana saja
d*****4,"2025-06-19 06:35 | Variasi: SC-732,5 METER, SC-732,3 METER",Terimakasih untuk barangnya🙏
1*****3,"2025-05-04 19:46 | Variasi: SC-735,10 METER","Lumayan panjang, berfungsi dengan baik, semoga awet"
,"2025-06-04 19:20 | Variasi: SC-733,1.5 METER","Bagus harga terjangkau sesuai gambar, tpi lobangnya agak longgar ke charger tpi yang satu bagus"
m*****6,"2025-05-20 18:55 | Variasi: SC-733,10 METER","Bagus sekali cok sambungnya, kokoh, semua berfungsi dengan baik. Harganya murah, pengiriman baik."
n*****0,"2025-04-05 11:29 | Variasi: SC-733,10 METER",Makasih seller
,"2025-05-18 01:44 | Variasi: SC-734,5 METER",
,"2024-10-04 22:38 | Variasi: SC-732,3 METER, SC-733,1.5 METER","Terimakasih buat shope,seler juga buat para pak kurirnya yg amanah karena paket sy sudah saya terima dengan aman,packing juga amam,pesanan saya juga sesuai permintaan,pengiriman juga cepat."
,"2025-05-17 20:34 | Variasi: SC-733,5 METER",
h*****o,"2025-05-21 22:02 | Variasi: SC-735,5 METER, SC-735,3 METER","Desain oke
Harga murah
Fungsi dengan baik"
,"2025-05-18 11:27 | Variasi: SC-732,5 METER",
,"2026-04-14 15:50 | Variasi: SC-735 HITAM,10 METER","Bahanya lumayan tebel,kabelnya lentur juga ga kaku,,tidak ada kerusakan,lancar"
s*****7,"2024-05-31 10:14 | Variasi: SC-734,10 METER",Baguss sesuai yang di pesan mantao.berfungsi dengan baik nyala
n*****7,"2025-05-14 14:10 | Variasi: SC-733,5 METER","Stop kontak semua berfungsi dengan baik, packet aman tiba ditujuan, kualitas baik, thankyou🙂"
f*****_,"2025-05-16 20:27 | Variasi: SC-734,5 METER",Sangat bagusss 😍
,"2024-09-15 09:03 | Variasi: SC-734,10 METER","Produk yang diterima bagus, tidak rusak, sudah sesuai dengan yang aku beli. pengemasannya juga rapi banget, ditambah pengirimannya cepat jadi senang belanja di sini."
,"2025-06-17 01:24 | Variasi: SC-734,10 METER","Pengiriman sangat cepat., seller terimakasih 🙏"
s*****i,"2024-07-16 16:35 | Variasi: SC-734,10 METER","Sampai dalam keadaan baik, aman karena bubble wrap nya tebel. Stop kontaknya juga berfungsi dengan baik sudah di cek pakai test pen. Thank u seller"
,"2025-03-21 18:55 | Variasi: SC-732,3 METER",
a*****3,"2024-08-18 05:34 | Variasi: SC-735,10 METER","Saya puas banget dengan kecepatan kecepatan pengirimannya. Dari Tangerang ke Surabaya hanya 2 hari. Mantab banget untuk ekspedisinya. Barang sampai dalam.keadaan baik. Seller fast respond dan ramah. Kurir sopan. Semoga seller, ekspedisi dan kurir diberikan kelancaran dalam semua urusan"
,"2023-09-04 13:01 | Variasi: SC-734,3 METER",
s*****w,"2026-04-12 20:36 | Variasi: SC-735 HITAM,10 METER","Amanah bgt dan sudah sesuai SNI. packagingnya super tebel dan aman. niatnya ini buat di kelas, hihi. thank u seller have a nice day berkah selalu"
,"2024-11-19 15:41 | Variasi: SC-733,3 METER","Alhamdulillah sudah datang barang yang di tunggu - tunggu . Pengiriman  cepat , pengemasan rapi banget . Berfungsi dengan baik , bagus ga ada masalah stok kontak nya . Terima kasih buat tokonya sukses terus 🙏"
,"2025-05-28 11:16 | Variasi: SC-734,5 METER",Cukup sempurna untuk penggunaan setiap hari buat ngeces hp gak repot lagi
