Ulasan,Kategori
"Sesuai harga. Ini colokan cocoknya buat watt yang ringan2, kalo buat colokan kulkas kompor listrik dll rawan, soalnya pas diliat kabelnya kecil2 rawan terbakar. 
Untuk bahannya sih baguss ngga yang murahan, dan semua colokannya aman bisa dipakai.

Thx seller",Elektronik
"suka bgt sama barang nya, kokoh bgt bahannya, pengirimannya juga aman bgt bubble wrap nya tebel guys, ayo beli di sini!!!",Elektronik
"Awalnya stopkontaknya gak bisa di masukin ..ternyata kurang tekanan 
Produknya bagus semoga awet ya ..👍👍👍👍👍",Elektronik
Pengiriman cepat. Packagingnya juga rapi dan aman. Harga produk terjangkau. Kualitas produk bagus.,Elektronik
"Barang sudah datang sesuai pesanan, gaada yang cacat, berfungsi dengan baik, lampu indikator nya nyala juga, harganya juga murah, pengiriman cepat dan pengemasan rapi. Terima kasih",Elektronik
Sesuai pesanan amanah semoga awet Bagus banget berfungsi dengan baik,Elektronik
paket datang sengan selamat abang kurirnya jg sopan paket di packing dgn rapih barang komplit sesuai request thx seller n shopee,Elektronik
Sangat berfungsi untuk menghidupkan barang elektronik,Elektronik
semoga awet deh,Elektronik
Puas belanja di sini. Barang sesuai deskripsi & foto di outlet olshop. Recommended seller🥇🏆,Elektronik
"Sesuai dengan pesanan, barangnya bagus, harganya murah, berfungsi dengan baik, semoga awet. Kabelnya juga lentur.
Senang belanja disini.",Elektronik
"berfungsi dengan baik, lampu indikator nyala. tapi panjang bgt yaa ternyata wkwkw 😭",Elektronik
"Produk sesuai,, hanya saja panjang kabel nya gk sesuai harusnya 5m , ini cuma 4,5 meter
Diukur kabelnya dari ujung keujung cuma 4,5m
Mgkin yg ½ meter nya termasuk yg ada di dalam colokan kali yaa 🤭😅 .. Trus tiap stop kontak nya di jetrekin lampunya slalu kedip² knpa yaa?.
Pengemasan dan pengiriman cukup cepat..",Elektronik
"Harga murah dg kualitas yg diberikan. Plastiknya bagus,kabelnya bagus. Berfungsi dengan normal",Elektronik
"bagian lubang colokan untuk tempat charger agak sulit saya kira sudah pas ternyata yang longgar dan gabisa masuk untuk besi kepala chargernya, sangat disayangkan 
kalau panjangnya sudah pas sesuai ekspetasi 
harapannya mungkin besok perlu ditinjau lagi untuk pembuatan lubang chargernya",Elektronik
"Fast Respon, Fast Packing, Fast Pengiriman, Mendarat Dengan Selamat, Packing Rapi, Isi Sesuai Pesanan/Lengkap dan Berfungsi Dengan Sangat Baik, Terima Kasih",Elektronik
"Paket telah dtrima, pengemasan barang baik, barang berfungsi dgn baik",Elektronik
Stop kontaknya sesuai pesanan pokoknya okeh banget udah dicoba juga aman deh pokoknya,Elektronik
"Murah, semoga awet dan gak
Menyebabkan konslet listrik, beli yg 5 meter krn memang jangkauannya lagi butuh yg panjang",Elektronik
"Bangga jg dgn buatan lokal kita ini .. kualitasnya bagus, bahan nya tebal, kokoh & harga nya kompetitif dgn yg lain",Elektronik
"Allhamdulillah barang sudah sampai,dan barangnya bagus pengiriman ok,dan pengemasan pun rapi semoga bisa jadi langganan untuk toko nya,tetap maju yaa❤",Elektronik
Beli pas lagi flash sale lumayan dapet harga murah buat di kmr apalagi panjang nya 5cm desain nya juga bagus terimakasih,Elektronik
"Udah aku coba per colokannya dan berfungsi semuaaa, semoga awett 👍🏻👍🏻

Edited: guys, untuk panjang kabelnya ternyata kurang dari 1,5 M kalo kalian udah ngukur jarak untuk kabel 1,5 saranku beli yang 3M aja.. lebih baik kepanjangan yaa, tp buatku gak ada masalah kok 👍🏻👍🏻👍🏻",Elektronik
"Alhamdulillah barang sampai dengan aman, packing rapih. Berfungsi dengan baik. Seller ramah dan Trusted Seller.",Elektronik
"stop kontaknya berfungsi semua, aman semuanya, emg sengaja beli yg panjang",Elektronik
"Barangnya sudah datang makasih ya 
Pengiriimanya cepet banget keren si 
Berfungsi dengan baik top
Harga pun murah keren lah ga kecewa beli di toko ini amanah banget",Elektronik
"Kabel panjang dan murah, semua aman thank you seller",Elektronik
"Bagus, cocok untuk sehari2",Elektronik
Barang nya bagus berfungsi dengan baik dan sesuai dengan pesanan saya,Elektronik
bagus stop kontaknya,Elektronik
Semua berfungsi dengan baik mantap,Elektronik
Barangnya bagus oke mantab,Elektronik
"Sesuai pesanan
Produk bagus
Berfungsi dengan baik
Semoga awet
Recommended seller",Elektronik
"""Tingkatkan kualitas hidup dengan produk ini, sangat memuaskan!",Elektronik
"produknya bagus, berfungsi dengan baik dan SNI",Elektronik
"Alhamdulillah pembelian pertama
Proses cepat
Harga terjangkau
Semoga awet lama
Terimakasih",Elektronik
"Pengiriman cepat, sesuai dengan deskripsi berfungsi semua lobangnya. Semoga awet",Elektronik
Sejauh ini bagus. Kabelnya panjang bisa menjangkau jauh. Mudah-mudahan awet,Elektronik
"Sebelumnya pernah beli yang 5 meter ternyata kepanjangan alhasil sering ketindihan dan keinjek injek. Akhirnya pas kemarin malah ngeluarin api dari kabelnya😭
Yang ini panjangnya lebih pas, semoga aman terus deh",Elektronik
"Stop kontak berfungsi dengan baik. Harga nya murah, dr pada merek lain. Gpp la pengen nya belinya lebih mahal. Tp semoga aja walaupun ini murah bisa awet dan tahan lama. Terima kasih seller dan Shopee..",Elektronik
"Bagus, murah, kuat, pengiriman cepat dan mantab tokonya sukses selalu aamiin",Elektronik
"saya sangat suka sekali dengan bentuk dan penampilan stop kontak dengan kabel cukup panjang, kwalitas bagus, sangat memuaskan, terima kasih toko dan shopee.",Elektronik
"Pengiriman sangat cepat dg packaging yg rapi dan aman
Ke 2 nya bisa digunakan dg baik
Tdk ada keluhan so far",Elektronik
Alhamdulillah berfungsi dengan baik..pengiriman cepat,Elektronik
"Barangnya sampai dengan cepat. Pakai reguler, 2 hari sampai kerumah",Elektronik
"Stop Kontak+ Kabel SC-733 / 1,5Mtr Bagus, Pengiriman Cepat, Kemasan Rapi, Harga Standart & Sesuai Dengan Deskripsi. Terima Kasih Shopee.",Elektronik
"Sesuai deskripsi dan pesanana.Cepat sampai,semoga awet dan normal terus,terimakasih.",Elektronik
"Murah banget drpd beli offline colokan 5,bahan bagus 5 meter bisa 70k, rugi emang beli langsung, mending online. Pokoknya bagus bahan nya, berfungsi dengan baik",Elektronik
bagus sesuai sama pesanan pengiriman cepat packing aman dan rapi,Elektronik
"Untuk pengirimannya aman dan cepat. Barangnya bagus  dan sesuai deskripsi, kabelnya panjang dan colokannya banyak. Untuk kualitasnya juga bagus dan berfungsi dengan baik semuanya. Terimakasih ya dan semoga sukses terus.",Elektronik
"Pengiriman cepat. Packing baik pakai bubble tebal. Barang sesuai foto yg dipasang. Semoga awet. Belum dicoba. Terima kasih, Seller!!",Elektronik
"Barangnya bagus, murah tapi sangat berkualitas.
Makasih kak seller
.",Elektronik
"produk terbagus dengan harga yang terjangkau dan sangat murah, sangat bermanfaat, pengiriman super cepat , seller sangat recommended
cocok buat langgangan
terima kasih",Elektronik
"Paket mendarat dengan aman, memakai bubblewrap, dicoba jg aman. Semoga awet.",Elektronik
"Terimakasih barangnya sudah dateng, kaaf batu ngasih penilaian. Barangnya baguuus.",Elektronik
Alhamdulilah pesanan sudah tiba luarbiasa cepat pengiriman nya.. Terimakasih semoga menjadi langganan dan kualitas barang nya bagus sekali.. Terimakasih shoope terimakasih penjual dan mamang kurir.. Semoga jualannya amanah.. 👍,Elektronik
"Kontaknya bagus cakep ga gampang panas, fleksibel bisa dibawa kmna², colokan anti lepas terutama cocok untuk charger hp dong

Bisa dibawa ke ruang tamu yg punya colokan jauh dan hanya 1 aja..",Elektronik
"Alhamdulillah barang diterima dengan baik, tidak ada cacat dan kerusakan. Barang juga aman berfungsi dengan baik, semoga awet dan terpakai lama. Terimakasih seller semoga laris terus🤍🤍🤍💐",Elektronik
"Terimakasih seller sukses selalu..brg yg pesan sesuai pesanan,lengkap,berfungsi dengan baik juga tepat waktu sampainya. Sangat puas..terlihat berkualitas dari kabel dan kuningannya. Semoga awet barangnya..",Elektronik
"Produk bagus murah sesuai dengan barangnya, mantap pokoknya",Elektronik
"Penyambung kabel listrik nya sudah diterima, sangat berguna untuk menggunakan alat yg kabelnya tidak sampai ke stop kontaknya",Elektronik
"Alhamdulillaah sampe dengan aman
Sudah di tes, dan berdungsi dengan baik colokannya
Terima kasih seller",Elektronik
Barangnya sudah sampai dengan aman. Packing sangat aman karena bubble wrap nya tebal. Berfungsi dengan baik. Terima kasih.,Elektronik
"Barang sampai dengan baik, aman, sesuai, terimakasih 🙏",Elektronik
"Barang sudah diterima dan sudah dipakai. Semoga aja awet, kualitas bagus sih ini. Terima kasih seller, mudah-mudahan wangi terus ya, hehe.",Elektronik
"packaging safety, semoga awet",Elektronik
"Colokannya berfungsi dengan baik, semoga bisa dipake lama. Sellernya sangat sangatt gercep, pas di co saat itu jg langsung dikirim barangnya. Mantapp pokoknya🤌🏻",Elektronik
"selalu beli di sini, uda ke 4x nyaa thankyouu",Elektronik
Cocok untuk colokan listrik yang penuh,Elektronik
"Mantaflah berfungsi dengan baik dua duanya, semoga awet terimakasih banyak!",Elektronik
Yg mau order bisa bgt disini ya,Elektronik
"Produk sudah sampai sesuai tidak kurang tidak rusak bagus tapi tidak tau kedepannya gmn nanti minta garansinya aja kalau ga lama udh rusak, penjual fast respon, pengiriman cepat banget, kurir langganan 🤩",Elektronik
"Stop kontak dari Cahaya ini sangat membantu buat kebutuhan listrik di rumah. Kabelnya tebal dan nggak gampang rusak. Panjangnya cukup buat ditaruh agak jauh dari colokan utama. Tersedia banyak lubang colokan, jadi bisa dipakai buat beberapa alat elektronik sekaligus. Kualitasnya bagus, worth it!",Elektronik
"Tidak menyesal beli produk ini, sangat direkomendasikan",Elektronik
"Bagus, pengiriman sangat cepat 1 lsngsung dikirim dan urgent juga jadi lgsg datang sip👍🏻",Elektronik
"Alhamdulillah stop kontak dan kabelnya bekerja dengan baik, panjang kabelnya cukup untuk penggunaan sehari-hari. Terimaksih seller, shopee dan abang kurir.",Elektronik
"Berfungsi dengan baik, dari pengalaman ku yang kabel kaya gini lebih aman dr pada kabel yg tipis itu",Elektronik
Pengiriman cepat pengemasan bagus rapih harga sesuai dengan produk bahan lumayan semiga cocok dan awet,Elektronik
"Stop kontaknya berfungsi dengan baik, semoga awet dan tahan lama. Pengirimannya cepet, pengemasannya aman banget, di bungkus dengan bubble wrap yang tebal dan dipakein lagi kardus, jadi in syaa Allah terjamin selama diperjalanan. Makasih seller dan tim juga Abang kurir, semoga tokonya makin laris, berlimpah rezeki, sehat-sehat, sejahtera, bahagia dan berkah untuk semua, aamiin",Elektronik
Bagusss bgt😍,Elektronik
praktis utk dibawa kemana saja,Elektronik
Terimakasih untuk barangnya🙏,Elektronik
"Lumayan panjang, berfungsi dengan baik, semoga awet",Elektronik
"Bagus harga terjangkau sesuai gambar, tpi lobangnya agak longgar ke charger tpi yang satu bagus",Elektronik
"Bagus sekali cok sambungnya, kokoh, semua berfungsi dengan baik. Harganya murah, pengiriman baik.",Elektronik
Makasih seller,Elektronik
"Terimakasih buat shope,seler juga buat para pak kurirnya yg amanah karena paket sy sudah saya terima dengan aman,packing juga amam,pesanan saya juga sesuai permintaan,pengiriman juga cepat.",Elektronik
"Desain oke
Harga murah
Fungsi dengan baik",Elektronik
"Bahanya lumayan tebel,kabelnya lentur juga ga kaku,,tidak ada kerusakan,lancar",Elektronik
Baguss sesuai yang di pesan mantao.berfungsi dengan baik nyala,Elektronik
"Stop kontak semua berfungsi dengan baik, packet aman tiba ditujuan, kualitas baik, thankyou🙂",Elektronik
Sangat bagusss 😍,Elektronik
"Produk yang diterima bagus, tidak rusak, sudah sesuai dengan yang aku beli. pengemasannya juga rapi banget, ditambah pengirimannya cepat jadi senang belanja di sini.",Elektronik
"Pengiriman sangat cepat., seller terimakasih 🙏",Elektronik
"Sampai dalam keadaan baik, aman karena bubble wrap nya tebel. Stop kontaknya juga berfungsi dengan baik sudah di cek pakai test pen. Thank u seller",Elektronik
"Saya puas banget dengan kecepatan kecepatan pengirimannya. Dari Tangerang ke Surabaya hanya 2 hari. Mantab banget untuk ekspedisinya. Barang sampai dalam.keadaan baik. Seller fast respond dan ramah. Kurir sopan. Semoga seller, ekspedisi dan kurir diberikan kelancaran dalam semua urusan",Elektronik
"Amanah bgt dan sudah sesuai SNI. packagingnya super tebel dan aman. niatnya ini buat di kelas, hihi. thank u seller have a nice day berkah selalu",Elektronik
"Alhamdulillah sudah datang barang yang di tunggu - tunggu . Pengiriman  cepat , pengemasan rapi banget . Berfungsi dengan baik , bagus ga ada masalah stok kontak nya . Terima kasih buat tokonya sukses terus 🙏",Elektronik
Cukup sempurna untuk penggunaan setiap hari buat ngeces hp gak repot lagi,Elektronik
Semoga awet ya tp blm di coba,Elektronik
Kualitas barang nya lumayan bagus dan pengiriman barang nya cepat,Elektronik
"berfungsi dengan baik, harga terjangkau, kabel tebel",Elektronik
sangat membantu cocok untuk semuany,Elektronik
"Stop kontak bekerja dengan baik, puas",Elektronik
pas banget buat di bawa traveling kemana2,Elektronik
bagus banget,Elektronik
"Kabel rollnya sudah sampai dengan baik dan aman, packagingnya bagus dan pengiriman lumayan cepat. Terima kasih seller",Elektronik
BAGUS! gitu si kata mami aku trs berfungsi semua udah di coba juga,Elektronik
"Bagus banget, tebal, panjang, awet banget sih kalo pakek ini",Elektronik
Ketiga lubangnya berfungsi dengan baik,Elektronik
Makasih barang sampai dgn aman dan sesuai g ada barang yg cacat atau rusak Alhamdulillah tokonya amanah rekomendasi banget buat kalian bakal langganan trus di sini 😁🙏,Elektronik
"Beroperasi dengan baik, sangat berguna untuk penggunaan sehari2 karena kabelnya yang panjang dan harga maupun kualitas oke bangett, pembelian yang kedua.
Kalo butuh lagi otw balik ke toko ini",Elektronik
"barang berfungsi dengan bener semoga awet bertahan lama kabel tidak ada yg putus, kabel daleman pakai tembaga pasti kuat dan tahan lama, begitu juga kabel berfungai dan tahan lama kuat tidak ada yang putus. next order kelistrikan lainnya,seller juga fast respon banget barang cepet sampe",Elektronik
Murah kualitas tapi oke berat bgt kabel juga bagus no Abal abal,Elektronik
Barang sudah sampai dengan selamat. Paking aman. Terimaksih banyak,Elektronik
"Bahan nya bagus,kabelnya pun ga keras, best deh pokonya,semoga awet dan bsa kepake lama",Elektronik
rekom dengan harga segitu murah sih,Elektronik
Stop kontaknya kokoh dan berfungsi dengan baik,Elektronik
"Alhamdulillah paket sudah sampai dengan sesuai pesanan, packing sangat aman dengan bubble wrap yang tebal, barang juga berfungsi dengan baik.Terima kasih kepada shopee dan tokonya",Elektronik
biarkan bintang berbicara..,Elektronik
"Bagus, pengiriman cepat. Semoga awet",Elektronik
Real pict pokonya mah👌,Elektronik
"Barang bagus, sesuai pesanan. Semoga awet. Terima kasih seller. Sukses terus👍",Elektronik
Produk sesuai pesanan. Stop kontak berfungsi dgn baik. Packing aman. Mantap 🫰,Elektronik
Sesuai . Dan beroperasi dengan baik sekali,Elektronik
"Sangat berfungsi sekali, barang aman dan sangat rekomendasi. Terimakasih",Elektronik
Membantu untuk menyambungkan listrik di tempat yg sulit terjangkau,Elektronik
"salah beli ukuran, tapi yang penting tetap berfungsi dengan baik dan paket sampai dengan aman",Elektronik
"Paket sdh tiba dgn baik di packing dgn buble tebal
Respon seller positif dan responsif
Kurir senyum mlolo dan ramah
Thnks",Elektronik
Murah bagus pengiriman lumayan cepat. Sudah order bbrpa kali di toko ini. Masih berfungsi dgn baik setelah pemakaian lbh dari 1 thn.,Elektronik
"Pesanan sudah sampai dengan baik, pengiriman cepat dan Amanah, untuk kurir Ramah.Tq seller 🤝😎",Elektronik
Terimakasih sudah amanah semoga tokonya makin berkah🙏,Elektronik
"Cepet bgt pengirimannyaa, semoga awet terus",Elektronik
Bagus bermanfaat terimakasih 🥰🥰,Elektronik
Pesanan sudah tiba dengan cepat Dan sesuai. Mantap. Sukses selalu 👍🙏,Elektronik
"Sesuai deskripsi, semoga awet ya. Terima kasih seller",Elektronik
Untuk colokan harus tambah T lagi lubang terlalu besar,Elektronik
Pengemasan ok respon cepat ramah packing good bubble wrap tebal dan berkualitas,Elektronik
Bagus bagus,Elektronik
Mantap,Elektronik
Semua bagus pada waktu nya,Elektronik
Berfungsi dengan baik,Elektronik
harga terjangkau.. baik,Elektronik
Sampai dengan bagus dan baik tanpa kekurangan apapun. Hanya saja agak lama sampai nya dan malam malam. Tapi selebihnya ok Terimakasih Seller Terimakasih Kurir. Sehat & Sukses Selalu,Elektronik
"Barang sudah sampai dengan aman, semoga awet untuk jangka panjang",Elektronik
"terima kasih seller, barang bergungsi dengan baik",Elektronik
Memudahkan kitaaaa untuk cas hp bareng wkwk,Elektronik
"pengiriman nya cepet banget, harga nya murah, kualitas nya oke, packing aman",Elektronik
"Maaf baru ngasih ulasan lupa, ga nyesel sesuai pesanan kabelnya jg lumayan tebel dan panjang toko amanah sukses trus",Elektronik
"Barang sampai sesuai pesanan dan berfungsi dengan baik, pengiriman aman, bubblewrap sangat tebal jadi aman next order lagi di toko ini, makasih seller",Elektronik
"Berfungsi dan nyala lampu nya, bagus, pengiriman lumayan cepet",Elektronik
"Fungsi memberikan manfaat sesuai dengan deskripsi 
Panjang cukup memuaskan untuk penggunaan sehari-hari 
Penerangan memberikan cahaya yang cukup",Elektronik
Barang sudah sampai dengan baik dan pengiriman sangat cepat. Terimakasih,Elektronik
"Alhamdulillah sudh diterima dengan baik dan berfungsi dengan baik, semoga umurnya panjang. Aamiin",Elektronik
"Cukup membantu untuk travelling yang rame-rame, ga kepanjangan tapi udah bisa buat charge hp tanpa gantian krn power supply cuma 1 titik",Elektronik
Bgus murah dan berkualitas premium,Elektronik
Mksh seller sangatt bagus bisaa di gunakan dgn baek,Elektronik
"seller gercep, semoga awet. makasih kak!🫶🏽",Elektronik
Siap pasang,Elektronik
"Cepet nyampenya, berguna banget buat anak kost-an gini, semoga awet & aman2 selalu",Elektronik
"bagus dih kayak kabel pada umumnya, kirimnya juga cepet. sesuai juga emang mesennya yang 3 m. bubble warpnya tebel",Elektronik
"Pengiriman cepat, packing nya aman banget bublewrap nya tebe belum di coba bismillah semoga berfungsi dengan baik, terimakasih seller terimakasih shopee.",Elektronik
"Sesuai pesanan muantap👍 stop kontok 4 lubang,,semoga aweet kuat panas👍",Elektronik
"Belum dicoba, secara packing aman
secara produk yg lain yg sudah dicoba semua bisa digunakan.",Elektronik
Alhamdulillah berfungsi dengan baik,Elektronik
Alhamdulillah barang nya sudah sampai pengiriman cepat sesuai dengan jadwal,Elektronik
"Pengemasan baik, pengiriman cepat, barang berfungsi dengan normal",Elektronik
"Kualitas cukup bagus, semoga awet",Elektronik
Brg sesuai . Pcking bagus.kurir ramah,Elektronik
"Semoga awet dan tahan lama ya, pengiriman lumayan cepet",Elektronik
"Kualitas bahannya bagus banget, build qualitynya juga kokoh tidak yang rapuh gitu, Thanks for this product.",Elektronik
"Paket di terima dengan baik dan sesuai Pict. Pakingan rapi dan aman.

Proses Pengemasan dan Pengiriman juga cepat sampainya.

Sudah di coba dan moga awet.

Tengkyu Seller, sukses terus.",Elektronik
"Packing baik dan rapi
Kiriman cepat
Pelayanan baik
Barang mutu bagus",Elektronik
"Alhamdulillah udh samapi kabelnya, makasih ka",Elektronik
"Pengiriman ok
Pesanan sesuai
Harga bersahabat
Fungsi normal semua
Seller ramah
Sukses buat tokonya",Elektronik
"Packig aman, barang berfungsi dengan baik..

Sukses selalu seller, terimakasihh❤️❤️❤️❤️",Elektronik
"Kualitas produk baik,  pengemasan rapih. Terima kasih",Elektronik
"Alhamdulillah sudah sampai barangnya, cepat banget, tokonya fast respond, makasih seller",Elektronik
baguss warnanya juga cantikkk harus aga ditekan ya masi baru soalnyaa tapi malah bikin aman si,Elektronik
Sangat berguna,Elektronik
Barng CPT sampe terimakasih 🙏🙏,Elektronik
"Bagus buat colokan tambahan, Kabelnya juga gede gak kecil. Ppppp",Elektronik
"Semua berfungsi baik , pengiriman cepat , barang bagus harga terjangkau",Elektronik
"aman, takut ga sesuai kaya penilaian lainnya karna ini co disuruh kantor, males banget kalo sampe barang nya rusak",Elektronik
Bagus realpict sesuai deskripsi dan difoto,Elektronik
Alhamdulillah pengiriman cepat bru kemaren pesen hri ini sudah datang tokonya amanah,Elektronik
Original dan berfungsi dengan baik,Elektronik
Terbaik ini asli parah barang cepat sampai dan sesuai dengan ke inginan terima kasih banyak lur,Elektronik
Kabel stop kontaknya berfungsi dengan baik..pengiriman juga cepat dan aman.. recomended seller 👍🏻,Elektronik
"Panjang banget, + banyak colokannya",Elektronik
berfungsi baik 👍,Elektronik
"Barang diterima dalam keadaan bagus..
Semoga awet👍👍👍🥰🥰🌹",Elektronik
Alhamdulillah paket sudah sampai pengiriman cepat harganya lumayan bersaing kualitas bagus terimakasih,Elektronik
Alhamdulillah... Barangnya sudah sampai... Berfungsi dengan baik... Terima kasih shopee dan seller...,Elektronik
"berfungsi  dgn baik, so far gaada kendala aman aja. thanks seller",Elektronik
pengiriman cpt shari nyampe barang aman gaada minus thanks seler🥰,Elektronik
Sesuai dengan yang tertera pada deskripsi seller..teria kasih..,Elektronik
"terimakasih bangett karnaa sudahh cepat dikirimmm, sangat membantuuu",Elektronik
Bagus sih barangnya oke cahanya juga terang suka oke bangett sihh kapankapan beli lagi semoga awet dan next order lagi makash dan cpet sampek jg oke banget,Elektronik
Beli lagi di toko ini respon baik,Elektronik
Oke lah. Berfungsi dgn baik. Semoga awet,Elektronik
"Alhamdulillah pesanan telah tiba.. Barangnya bagus material plastiknya tebal dan bagus.. Terimakasih Shopee, penjual dan kurir.. Semoga jualan nya makin laris dan tetap amanah.. 🙏",Elektronik
Alhamdulillah Sampai dg cepat berfungsi dengan baik Langsung nyala tidak ada kendala trimakasih kurir yg ramah dan seller yg baik sudah menjual barang dengan baik,Elektronik
stop kontaknya berfungsi dengan baik. produk original. pengemasan baik. pengiriman juga cepat pokoknya makasih buat semuanya.,Elektronik
"Barang bagus sesui etalaze & brefungsi dgn baik...
Cuma panjangnya tidak sampai 3 meter",Elektronik
